link,players,spawned,next_event_time,eventCounter,totalNpcs,cpu,spawnLocRad_10,spawnLocRad_5,barrelIssue,shipExists
https://tribals.io/#KVJ1,13,True,0 seconds,19,114,22.22,4,4,False,True
https://tribals.io/#LH10,6,True,0 seconds,2,12,97.2,0,2,False,True
https://tribals.io/#PFFE,31,True,0 seconds,1,6,95.05,6,7,False,True
https://tribals.io/#4VB0,16,True,0 seconds,21,126,32.99,7,7,False,True
https://tribals.io/#72TB,11,True,0 seconds,18,108,29.59,4,4,False,True
https://tribals.io/#L34F,4,True,0 seconds,18,108,44.44,4,4,False,True
https://tribals.io/#EZJ1,2,True,0 seconds,10,60,10.68,5,6,False,True
https://tribals.io/#QXLE,4,True,0 seconds,20,120,16.16,7,7,False,True
https://tribals.io/#KYTC,11,True,0 seconds,19,114,46.94,6,6,False,True
https://tribals.io/#FOP4,9,True,0 seconds,15,90,24.74,1,1,False,True
https://tribals.io/#G53A,3,False,0 seconds,10,60,7.14,0,0,False,True
https://tribals.io/#GB4V,13,False,0 seconds,9,54,23.23,0,1,False,True
https://tribals.io/#9FPH,5,False,40 second(s),18,108,17.53,3,6,False,True
https://tribals.io/#GM6C,5,False,52 second(s),10,60,8.08,3,4,False,True
https://tribals.io/#BPPO,13,False,1 minute(s) and 28 second(s),13,78,29.9,1,2,False,True
https://tribals.io/#M5AX,4,False,1 minute(s) and 54 second(s),18,108,13.86,6,7,False,True
https://tribals.io/#EB7T,14,False,3 minute(s) and 24 second(s),18,108,49.49,3,3,False,True
https://tribals.io/#GP2Y,9,False,3 minute(s) and 24 second(s),18,108,80.68,2,3,False,True
https://tribals.io/#3STY,10,False,4 minute(s) and 53 second(s),17,102,40.4,6,6,False,True
https://tribals.io/#Q43O,10,False,6 minute(s) and 22 second(s),18,108,8.25,7,7,False,True
https://tribals.io/#98BX,11,False,6 minute(s) and 27 second(s),18,108,28.57,7,7,False,True
https://tribals.io/#4CIL,4,False,6 minute(s) and 56 second(s),19,114,6,4,4,False,True
https://tribals.io/#LF1N,6,False,7 minute(s) and 21 second(s),18,108,32.35,5,6,False,True
https://tribals.io/#NDU4,2,False,9 minute(s) and 30 second(s),19,114,5.05,3,3,False,True
https://tribals.io/#QYUQ,1,False,11 minute(s) and 55 second(s),18,108,14.29,3,4,False,True
https://tribals.io/#2SOK,5,False,13 minute(s) and 57 second(s),17,102,12.37,5,5,False,True
https://tribals.io/#SRVF,6,False,14 minute(s) and 12 second(s),17,102,23,3,4,False,True
https://tribals.io/#0OGC,5,False,14 minute(s) and 13 second(s),19,114,5.15,5,6,False,True
https://tribals.io/#3B5O,1,False,14 minute(s) and 35 second(s),15,90,4.04,1,1,False,True
https://tribals.io/#P3ME,4,False,15 minute(s) and 50 second(s),18,108,7.37,6,7,False,True
https://tribals.io/#PJ3R,5,False,16 minute(s) and 58 second(s),18,108,5.15,2,2,False,True
https://tribals.io/#X0NA,8,False,18 minute(s) and 58 second(s),18,108,23.23,4,5,False,True
https://tribals.io/#CZJ0,2,False,19 minute(s) and 59 second(s),17,102,6.8,3,4,False,True
https://tribals.io/#DL2C,13,False,21 minute(s) and 40 second(s),19,114,18.81,4,4,False,True
https://tribals.io/#H41F,5,False,22 minute(s) and 15 second(s),17,102,13.86,1,1,False,True
https://tribals.io/#LR4H,3,False,23 minute(s) and 3 second(s),19,114,18,5,6,False,True
https://tribals.io/#PUGY,13,False,24 minute(s) and 52 second(s),18,108,20.21,3,3,False,True
https://tribals.io/#0P95,7,False,26 minute(s) and 16 second(s),19,114,63.11,5,5,False,True
https://tribals.io/#QMES,3,False,26 minute(s) and 31 second(s),19,114,10.2,4,4,False,True
https://tribals.io/#7POS,12,False,26 minute(s) and 54 second(s),17,102,22.45,6,7,False,True
https://tribals.io/#3PC2,14,False,30 minute(s) and 18 second(s),19,114,25,4,4,False,True
https://tribals.io/#H1XV,8,False,31 minute(s),19,114,24.04,7,7,False,True
https://tribals.io/#Z9Q9,10,False,32 minute(s) and 30 second(s),19,114,21.21,7,7,False,True
https://tribals.io/#2K79,10,False,34 minute(s) and 44 second(s),18,108,72.73,4,4,False,True
https://tribals.io/#V2C0,11,False,35 minute(s) and 29 second(s),18,108,24.27,2,4,False,True
https://tribals.io/#TQC2,3,False,35 minute(s) and 41 second(s),18,108,20,4,5,False,True
https://tribals.io/#K2WN,13,False,38 minute(s) and 21 second(s),16,96,78.79,3,4,False,True
https://tribals.io/#QABK,3,False,39 minute(s) and 9 second(s),15,90,8.82,4,5,False,True
https://tribals.io/#JU07,11,False,39 minute(s) and 56 second(s),18,108,39,4,4,False,True
https://tribals.io/#5DC6,9,False,40 minute(s),17,102,51.06,2,5,False,True
